	terminology	system	dataset	pair	chrf	comet	cometkiwi	consistency	regex	fuzzy90	tok_regex	tok_fuzzy90
86	term	ForceGen_Transformer	test	zh-en	38.58929028832826	0.7062530150283242	0.709675301108687	0.5097451274362819	0.480719794344473	0.4832904884318766	0.5208226221079691	0.4647814910025707
87	rand	DCU-TU-TR	test	en-cs	62.09374096960575	0.8774822356549095	0.7932402622163965	0.6617954070981211	0.7290909090909091	0.8272727272727273	0.8418181818181818	0.8527272727272728
88	base	uedin_llm	test	de-en	61.39829337444249	0.839532245969058	0.8348524033576809	0.7984886649874056	0.6805555555555556	0.6759259259259259	0.6967592592592593	0.6805555555555556
89	base	opuscat-terms	test	en-cs	62.072754123752205	0.912876931915569	0.8503478439559651	0.569937369519833	0.3963636363636363	0.5127272727272727	0.5163636363636364	0.5690909090909091
90	term	uedin_decode_tag_improved	test	de-en	61.01363764033354	0.839761811807361	0.8230527422847819	0.801007556675063	0.6782407407407407	0.6712962962962963	0.7037037037037037	0.6828703703703703
91	term	uedin_llm	blind	de-en	53.78168294490821	0.7998647471558773	0.8204983786112418	0.6377880184331797	0.382055120190191	0.4511754864841067	0.413049220744915	0.4508232807959849
92	term	uedin_llm	test	de-en	61.39829337444249	0.839532245969058	0.8348524033576809	0.7984886649874056	0.6805555555555556	0.6759259259259259	0.6967592592592593	0.6805555555555556
93	term	DCU-TU-TR	blind	en-cs	64.4343371686993	0.8408493875449407	0.7901656951284803	0.7531657899863627	0.5289855072463768	0.5974025974025974	0.5767927724449463	0.6134010916619612
94	base	BJTU-LB_system2	blind	zh-en	41.277653042715166	0.7362898858366432	0.7374958655409178	0.705848623853211	0.4929577464788732	0.595328065956716	0.5070422535211268	0.571281346616283
95	rand	opuscat-terms	test	en-cs	64.93763387720101	0.9169328973980878	0.8391726725780115	0.7423728813559322	0.792332268370607	0.8434504792332268	0.8466453674121406	0.853035143769968
96	base	uedin_llm	blind	en-cs	57.162172857284745	0.8545000157515044	0.8247172433890665	0.7472238457042664	0.3935629587803501	0.4809900244682853	0.4460756634669678	0.5053642010163749
97	base	DCU-TU-TR	blind	de-en	51.9427502613947	0.7790473053583135	0.810050088846538	0.6625806451612903	0.3408470546799331	0.4188606145989257	0.36673417275689	0.4212380029937483
98	rand	DCU-TU-TR	test	zh-en	13.652836153144571	0.410575721976913	0.3255466390435941	0.12658227848101267	0.0485542825968357	0.0529187124931805	0.0627386797599563	0.0671031096563011
99	base	uedin_llm_improved	test	de-en	59.64968731198495	0.8392711777365609	0.8269421382343278	0.7984886649874056	0.6712962962962963	0.6736111111111112	0.6875	0.6805555555555556
100	base	DCU-TU-TR	blind	en-cs	52.63329223242032	0.7855886805049299	0.751070698955867	0.7744983440483149	0.3090532655750047	0.4042913608130999	0.3587427065687935	0.4241483154526633
101	base	BJTU-LB_system2	test	zh-en	40.99876266767561	0.7334918879418402	0.73727972101152	0.5667166416791605	0.4735218508997429	0.4730077120822622	0.5120822622107969	0.4709511568123393
102	rand	uedin_llm_improved	test	en-cs	62.37113631740851	0.8954985040180692	0.811614931745922	0.6325678496868476	0.6418181818181818	0.74	0.7745454545454545	0.7745454545454545
103	base	uedin_llm_improved	test	en-cs	54.76396736468302	0.8763565490308326	0.8234289405720957	0.5052192066805845	0.289090909090909	0.3181818181818182	0.3909090909090909	0.3818181818181818
104	rand	lc_wmt23_single	test	de-en	57.58259895855201	0.7575286562634764	0.7102119718374831	0.7027707808564232	0.8958333333333334	0.875	0.8935185185185185	0.8611111111111112
105	term	uedin_decode_tag_improved	blind	de-en	58.32463474091153	0.8094457327167085	0.8088114325012734	0.6061751152073733	0.5106982477767016	0.5415162454873647	0.5320947433301048	0.5391388570925421
106	base	HW-TSC	test	en-cs	58.30271811933716	0.88705037796542	0.8356844690185361	0.5949895615866388	0.3381818181818182	0.4181818181818181	0.4618181818181818	0.4618181818181818
107	rand	HW-TSC	test	de-en	62.12569813473336	0.8425344331434157	0.8322665907916952	0.7884130982367759	0.6666666666666666	0.6851851851851852	0.6898148148148148	0.6944444444444444
108	term	DCU-TU-TR	blind	zh-en	37.53549862376037	0.6877604161416042	0.6786765433331075	0.7495682210708118	0.7639751552795031	0.7832988267770876	0.785024154589372	0.7581090407177363
109	term	DCU-TU-TR	test	en-cs	55.84186416670721	0.8565336027172175	0.7832441309864602	0.55741127348643	0.3327272727272727	0.3818181818181818	0.4127272727272727	0.4145454545454545
110	rand	uedin_decode_tag_improved	blind	en-cs	67.9796120814816	0.8820673037163548	0.8172147925287547	0.7489772063120982	0.7025221155655939	0.7646339168078299	0.7712215320910973	0.7932429888951628
111	base	opuscat-terms	blind	en-cs	62.48657307979706	0.8687690029510801	0.8422304625405042	0.7341710500681863	0.4576510446075663	0.5377376246941464	0.5065876152832675	0.5567476002258611
112	term	lc_wmt23_single	blind	de-en	61.76755087078028	0.7350333105757569	0.6858635096124587	0.6018433179723502	0.5995421326054415	0.6245487364620939	0.6322092101787444	0.6220832966452409
113	rand	lc_wmt23_single	blind	de-en	66.88409473467968	0.7681237334130253	0.6901769751892646	0.5846082949308756	0.948486457780138	0.8550185873605948	0.9440608957337582	0.8567888121791467
114	rand	lc_wmt23_single	blind	en-cs	73.1552874984976	0.8628443109219941	0.7713926878877966	0.7419637638807715	0.9241483154526632	0.9130434782608696	0.9565217391304348	0.9229249011857708
115	term	uedin_llm	blind	en-cs	57.162172857284745	0.8545000157515044	0.8247172433890665	0.7478082992402104	0.3935629587803501	0.4809900244682853	0.4460756634669678	0.5053642010163749
116	term	lc_wmt23_single	test	zh-en	27.04837463439846	0.5314884114968498	0.5129732539988764	0.37181409295352325	0.3341902313624679	0.3233933161953727	0.3609254498714653	0.3280205655526992
117	term	ForceGen_Transformer_filtered	test	zh-en	38.58929028832826	0.7062530150283242	0.709675301108687	0.5097451274362819	0.480719794344473	0.4832904884318766	0.5208226221079691	0.4647814910025707
118	base	ForceGen_Transformer_filtered	test	zh-en	37.05783323513373	0.69627203495732	0.7119615072802885	0.4947526236881559	0.3213367609254499	0.352185089974293	0.3681233933161953	0.3526992287917738
119	base	opuscat-terms	test	de-en	61.011053262061246	0.840092398923881	0.8279391335190905	0.7959697732997482	0.6736111111111112	0.6805555555555556	0.6944444444444444	0.6851851851851852
120	rand	uedin_llm_improved	blind	de-en	61.379443821334775	0.819305128247314	0.8004266006854367	0.635299539170507	0.6546382679105791	0.6606231297306813	0.6840345009681394	0.6576306988206302
121	rand	BJTU-LB_system2	test	zh-en	42.968791983295255	0.7501357979126282	0.7435553926459373	0.32	0.0575342465753424	0.0668493150684931	0.0783561643835616	0.0843835616438356
122	base	uedin_llm_improved	blind	en-cs	55.82723204931285	0.8557040804291364	0.8261799949605025	0.7501461133839861	0.3827404479578392	0.4762845849802372	0.4396762657632223	0.5020703933747412
123	rand	TSSNMT_filtered	blind	zh-en	39.371393474991066	0.7177322002974423	0.7070464876565066	0.8888888888888888	0.208955223880597	0.208955223880597	0.2238805970149253	0.2238805970149253
124	rand	ForceGen_Transformer	blind	zh-en	38.17828909870093	0.6982771822504649	0.702674925199237	0.6049237983587339	0.1602895553257497	0.2557738710789383	0.1644260599793174	0.2423302309548431
125	base	TSSNMT_filtered	blind	zh-en	34.718221047653	0.7008563945336002	0.723703666457108	0.8000000000000002	0.2205882352941176	0.2352941176470588	0.2647058823529412	0.2647058823529412
126	term	DCU-TU-TR	blind	de-en	60.98681042043932	0.8014275687904662	0.7881893856271475	0.6171428571428571	0.5646737694813772	0.5893281676499076	0.590560887558334	0.5865985735669631
127	rand	opuscat-terms	blind	zh-en	32.47809649884628	0.6235951310820635	0.6013074214470174	0.7467760844079718	0.3840055153395381	0.4046880386073768	0.3891761461564977	0.3991726990692864
128	rand	uedin_llm	blind	zh-en	40.37775789499285	0.7521247994943657	0.7566686825125842	0.6670574443141852	0.2299207169941399	0.317132023440193	0.233712512926577	0.3105825577387108
129	base	uedin_decode_tag_improved	blind	de-en	52.17333039057041	0.7991144767326772	0.820574106433741	0.6223041474654378	0.3704323324821696	0.4388482873998415	0.3989609932200405	0.4373514132253236
130	base	uedin_llm_improved	blind	de-en	52.29284336229264	0.7993310681737585	0.8191012885204164	0.6174193548387097	0.3712247952804438	0.4369111561151713	0.4010742273487717	0.4365589504270494
131	base	uedin_twoshot	test	en-cs	53.25376633605142	0.8738413046808279	0.8244671533616741	0.6638830897703549	0.2581818181818182	0.2981818181818181	0.3454545454545454	0.3509090909090909
132	term	uedin_decode_tag_improved	blind	zh-en	40.9516122841648	0.7566180181517851	0.7471604427102139	0.7545871559633028	0.7519752662315355	0.7825489522500859	0.7650291995877705	0.7389213328753006
133	rand	uedin_decode_tag	blind	de-en	62.76436276222787	0.8016146342377488	0.7395183839095981	0.6075576036866359	0.7504622699656599	0.7625253147838338	0.7525755040943911	0.7561856123976403
134	base	DCU-TU-TR	blind	zh-en	31.348789715558024	0.6378960089532884	0.6446429931346023	0.6238532110091743	0.3122638268636207	0.4053589831672964	0.3280659567159051	0.3971143936791481
135	base	uedin_decode_tag_improved	blind	en-cs	56.84333389088039	0.8584380522061826	0.8327658799000656	0.7576466004285992	0.3903632599284773	0.4824016563146998	0.4453227931488801	0.5081874647092038
136	term	DCU-TU-TR	test	de-en	62.39161369722469	0.8381027025676399	0.8144571096932843	0.8060453400503778	0.6736111111111112	0.7013888888888888	0.7037037037037037	0.7129629629629629
137	base	HW-TSC	test	de-en	62.10024255067339	0.842387383127034	0.8320524500550402	0.7884130982367759	0.6666666666666666	0.6851851851851852	0.6898148148148148	0.6944444444444444
138	term	uedin_twoshot	blind	zh-en	34.45887572707446	0.6504777771431011	0.6398179063321033	0.6215596330275229	0.4417725867399519	0.6207488835451734	0.4517347990381312	0.5358983167296462
139	base	uedin_decode_tag_improved	test	en-cs	55.83058315675338	0.8889248461535807	0.8369961643263641	0.5991649269311065	0.2909090909090909	0.3254545454545454	0.3836363636363636	0.3872727272727272
140	base	uedin_decode_tag	blind	de-en	52.59234837284514	0.7846615589659767	0.8147434796455596	0.66036866359447	0.351237122479528	0.4318922250594347	0.3785330633089724	0.43101171083913
141	base	lc_wmt23_single	blind	zh-en	21.90776739476312	0.4764635100669622	0.4561959274922826	0.24197247706422018	0.0326348333905874	0.0982480247337684	0.0371006526966678	0.0831329440054964
142	rand	uedin_twoshot	blind	de-en	62.49030387324181	0.7993579098507458	0.7378303451688513	0.604516129032258	0.7472043673505327	0.7610284406093158	0.750286167121599	0.7531038126265739
143	term	opuscat-terms	test	en-cs	67.54399569509857	0.920334735166714	0.8277689170524869	0.5511482254697286	0.4888178913738019	0.5718849840255591	0.5559105431309904	0.5846645367412141
144	term	ForceGen_Transformer_filtered	blind	zh-en	40.52107296117045	0.7151511641576322	0.7086650504297389	0.7729357798165138	0.7784266575060117	0.8261765716248711	0.7928546891102713	0.8000687049124012
145	rand	opuscat-terms	test	de-en	61.96233916946719	0.8405223152833932	0.8150418015678277	0.7991631799163179	0.7981072555205048	0.7981072555205048	0.8138801261829653	0.8138801261829653
146	term	HW-TSC	test	en-cs	58.20247347209674	0.8867131581020712	0.8358343512601174	0.6033402922755741	0.3345454545454545	0.4181818181818181	0.4545454545454545	0.4618181818181818
147	rand	HW-TSC	test	en-cs	58.29380908649394	0.8882613974564084	0.8350722534156471	0.6075156576200418	0.3381818181818182	0.4163636363636364	0.4581818181818182	0.4636363636363636
148	term	BJTU-LB_system1	blind	zh-en	43.46875015533202	0.7479718375009495	0.7376411909621859	0.7448394495412844	0.7375472346272759	0.7811748540020611	0.7595328065956716	0.7485400206114737
149	term	uedin_decode_tag	test	en-cs	55.56399373016736	0.8803783955422233	0.8194368547491366	0.6137787056367432	0.32	0.3618181818181818	0.4163636363636364	0.4090909090909091
150	term	DCU-TU-TR	test	zh-en	14.170973178158569	0.4145754739994139	0.3220240660956943	0.1470811220621683	0.0943983402489626	0.112551867219917	0.1120331950207468	0.1244813278008298
151	term	TSSNMT	test	zh-en	45.17624853232195	0.735137078166008	0.7112354151904583	0.7727272727272727	0.5102040816326531	0.5102040816326531	0.5102040816326531	0.5102040816326531
152	rand	BJTU-LB_system1	blind	zh-en	41.5131847458968	0.7365072550877535	0.7342643855428901	0.7116060961313012	0.2885211995863495	0.3581523612547397	0.2919682867976559	0.344364012409514
153	term	uedin_decode_tag	blind	en-cs	62.74418364600288	0.8375102346769442	0.7937653850098163	0.7500487044613288	0.466120835686053	0.5579710144927537	0.5020703933747412	0.5644645209862601
154	term	lc_wmt23_single	test	en-cs	59.79208448477307	0.8610216401489487	0.7839158276716868	0.6367432150313153	0.3727272727272727	0.4545454545454545	0.48	0.5
155	term	opuscat-terms	blind	zh-en	27.70131051559796	0.5572779266316085	0.5290473359699506	0.2930045871559633	0.1281346616283064	0.2074888354517348	0.132944005496393	0.1964960494675369
156	rand	uedin_twoshot	test	en-cs	59.618781606511504	0.8658667124166024	0.7715173879366243	0.5887265135699373	0.7636363636363637	0.7618181818181818	0.7909090909090909	0.76
157	rand	uedin_twoshot	blind	en-cs	62.8070581404636	0.8314892251874925	0.7679499521018556	0.7382622248197935	0.5607942781855826	0.6513269339356296	0.5921325051759835	0.6548089591567853
158	base	uedin_decode_tag	test	de-en	61.09298845896549	0.8377130559544438	0.8286388092273184	0.801007556675063	0.6643518518518519	0.6782407407407407	0.6851851851851852	0.6851851851851852
159	rand	ForceGen_Transformer_filtered	test	zh-en	38.6586048517529	0.7108726179050255	0.7209572356653348	0.6133333333333333	0.0536986301369863	0.0745205479452054	0.0728767123287671	0.0843835616438356
160	rand	opuscat-terms	test	zh-en	27.822206699544733	0.560764495797087	0.5332242109055945	0.3425925925925926	0.0592478104070067	0.0680061823802163	0.0824317362184441	0.0891293147861926
161	rand	HW-TSC	test	zh-en	38.8569708678157	0.7090820986094165	0.7124994881065634	0.32	0.0526027397260274	0.0641095890410958	0.0734246575342465	0.0810958904109589
162	base	lc_wmt23_single	blind	en-cs	58.00188691580196	0.8345163916722917	0.8092732414078762	0.8019676602376777	0.3946922642574816	0.4794842838321099	0.4426877470355731	0.5007528703180877
163	rand	uedin_decode_tag	test	de-en	62.41885061619584	0.8382712666238292	0.8016788794306781	0.7808564231738035	0.9236111111111112	0.8819444444444444	0.925925925925926	0.8865740740740741
164	rand	lc_wmt23_single	test	zh-en	31.85715456323092	0.6065516287946298	0.5870107972218198	0.37333333333333335	0.0498630136986301	0.0635616438356164	0.0673972602739726	0.073972602739726
165	rand	ForceGen_Transformer_filtered	blind	zh-en	37.95895144410984	0.6990886016664803	0.7064484315206845	0.6283704572098476	0.1540847983453981	0.2523267838676318	0.1582213029989658	0.2388831437435367
166	base	opuscat-terms	test	zh-en	24.57296859711461	0.5249792280682045	0.5040725100485015	0.26686656671664166	0.1655526992287917	0.174293059125964	0.1948586118251928	0.1892030848329048
167	base	TSSNMT	test	zh-en	36.34479535362532	0.7074884131550789	0.7234722472727299	0.6363636363636364	0.2244897959183673	0.2448979591836734	0.2857142857142857	0.2857142857142857
168	base	DCU-TU-TR	test	de-en	61.21870334643133	0.8340827158551091	0.8265412860595331	0.8161209068010076	0.6759259259259259	0.6990740740740741	0.7037037037037037	0.7152777777777778
169	rand	uedin_llm	test	en-cs	56.15179905284249	0.8752216406529316	0.8199228931232339	0.4801670146137787	0.2854545454545454	0.3345454545454545	0.3781818181818182	0.3763636363636363
170	base	lc_wmt23_single	blind	de-en	51.74321234409547	0.7706433266825883	0.7994600799809156	0.6666359447004608	0.3331865809632826	0.4123448093686713	0.3608347274808488	0.4134014264330369
171	base	lc_wmt23_single	test	en-cs	57.32156568535274	0.8759195766645425	0.8203379665867666	0.6367432150313153	0.3036363636363636	0.3963636363636363	0.42	0.4309090909090909
172	rand	DCU-TU-TR	blind	de-en	65.0518019279105	0.8154219269974908	0.7745325698174809	0.6337327188940092	0.7984502949722638	0.7755569252443427	0.8310293211235361	0.772387074051246
173	term	BJTU-LB_system2	test	zh-en	41.79062251578228	0.7411601365077837	0.7411507399621883	0.5944527736131934	0.5331619537275064	0.5182519280205655	0.5712082262210797	0.5223650385604113
